106.14.78.61,[29/Nov/2018:03:18:02],POST /api/ntkservice/ntkSale,200,366472
10.47.190.79,[29/Nov/2018:03:21:22],POST /login,200,29294
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/similarproductsnew/week_year/310903,200,278
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/similarproductsnew/mth_year/310903,200,277
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/similarproductsnew/season_year/310903,200,280
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/similarproductsnew/dw_year/310903,200,273
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/scjz/week_year/530904,200,12516
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/newsalenum/week_year/310903,200,6992
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/newsalenum/mth_year/310903,200,5913
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/newsalenum/season_year/310903,200,2446
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/newsalenum/dw_year/310903,200,1047
10.47.190.79,[29/Nov/2018:03:21:22],GET /api/saleservice/newsInfo/init/0,200,7604
10.47.190.79,[29/Nov/2018:03:21:23],GET /api/saleservice/product/310101,200,83
10.47.190.79,[29/Nov/2018:03:21:23],GET /api/saleservice/product/%E4%B8%AD%E5%8D%8E%EF%BC%88%E8%BD%AF%EF%BC%89,200,12
10.47.190.79,[29/Nov/2018:03:21:23],GET /api/saleservice/analysisK/week_year/1001,200,351199
10.47.190.79,[29/Nov/2018:03:21:23],GET /api/saleservice/fiveK/week_year/1001/3/5/10/12/20,200,201511
10.47.190.79,[29/Nov/2018:03:21:23],GET /api/saleservice/quotation/class_id/asc/0,200,30450
10.47.190.79,[29/Nov/2018:03:21:23],GET /api/saleservice/jbsl/week_year/310101,200,542
10.47.190.79,[29/Nov/2018:03:21:23],GET /api/saleservice/fiveK/week_year/310101/3/5/10/12/20,200,207672
10.47.190.79,[29/Nov/2018:03:21:28],POST /login,200,29278
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/similarproductsnew/week_year/310903,200,278
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/similarproductsnew/mth_year/310903,200,277
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/similarproductsnew/season_year/310903,200,280
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/similarproductsnew/dw_year/310903,200,273
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/scjz/week_year/530904,200,12516
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/newsalenum/week_year/310903,200,6992
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/newsalenum/mth_year/310903,200,5913
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/newsalenum/season_year/310903,200,2446
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/newsalenum/dw_year/310903,200,1047
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/newsInfo/init/0,200,7604
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/product/310101,200,83
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/product/%E4%B8%AD%E5%8D%8E%EF%BC%88%E8%BD%AF%EF%BC%89,200,12
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/analysisK/week_year/1001,200,351271
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/fiveK/week_year/1001/3/5/10/12/20,200,201503
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/quotation/class_id/asc/0,200,30427
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/jbsl/week_year/310101,200,542
10.47.190.79,[29/Nov/2018:03:21:28],GET /api/saleservice/fiveK/week_year/310101/3/5/10/12/20,200,207593
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/addMod/11/test11,499,0
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/newsInfo/6457,200,1204
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/kucun/dw_year/1001,200,5621
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/kucun/mth_year/1001,200,11090
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/kucun/season_year/1001,200,7173
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/quotation/class_id/asc/0,200,30442
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/news/class_id/asc/0,200,14387
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/jbsl/dw_year/310101,200,538
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/saveModIdSpecId/11/10090/310101,200,5
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/hyflsc/week_year/1001,200,3772
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/similarproducts/week_year/310101,200,18559
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/similarproducts/mth_year/310101,200,16457
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/similarproducts/season_year/310101,200,5573
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/similarproducts/dw_year/310101,200,1321
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/lunbo,200,5778
10.47.190.79,[29/Nov/2018:03:21:33],GET /api/saleservice/jbsl/week_year/530904,200,512
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/scjz/week_year/530904,200,12501
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/gongxu/week_year/1001,200,8036
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/gongxu/mth_year/1001,200,7102
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/gongxu/season_year/1001,200,2334
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/gongxu/dw_year/1001,200,461
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/newsInfo/6457,200,1204
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/newsInfo/5617,200,557
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/newkucun/week_year/310903,200,11599
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/newkucun/mth_year/310903,200,9875
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/newkucun/season_year/310903,200,3306
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/newkucun/dw_year/310903,200,666
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/sale/init,200,9397
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/clas/init,200,23793
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/clas/1001,200,4099
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/classify/-1/class_id/asc,200,3221
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/jbsl/week_year/310101,200,542
10.47.190.79,[29/Nov/2018:03:21:34],GET /api/saleservice/initMap/310101,200,6831688
10.47.190.79,[29/Nov/2018:03:21:38],GET /api/saleservice/addMod/11/test11,499,0
10.47.190.79,[29/Nov/2018:03:21:38],GET /api/saleservice/newsInfo/6457,200,1204
10.47.190.79,[29/Nov/2018:03:21:38],GET /api/saleservice/kucun/dw_year/1001,200,5621
10.47.190.79,[29/Nov/2018:03:21:38],GET /api/saleservice/kucun/mth_year/1001,200,11055
10.47.190.79,[29/Nov/2018:03:21:38],GET /api/saleservice/kucun/season_year/1001,200,7175
10.47.190.79,[29/Nov/2018:03:21:38],GET /api/saleservice/quotation/class_id/asc/0,200,30435
10.47.190.79,[29/Nov/2018:03:21:39],GET /api/saleservice/news/class_id/asc/0,200,14387
10.47.190.79,[29/Nov/2018:03:21:39],GET /api/saleservice/jbsl/dw_year/310101,200,538
10.47.190.79,[29/Nov/2018:03:21:39],GET /api/saleservice/saveModIdSpecId/11/10090/310101,200,5
10.47.190.79,[29/Nov/2018:03:21:39],GET /api/saleservice/hyflsc/week_year/1001,200,3772
10.47.190.79,[29/Nov/2018:03:21:39],GET /api/saleservice/similarproducts/week_year/310101,200,18552
